"","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","UID","ISO3","Testing_Rate","Hospitalization_Rate"
"3450","Diamond Princess","US","2020-06-11 03:33:54",NA,NA,49,0,NA,49,88888,NA,NA,NA,0,84088888,"USA",NA,NA
"3451","District of Columbia","US","2020-06-11 03:33:54",38.8974,-77.0268,9537,499,1143,7895,11,1351.33028881373,58192,NA,5.23225332913914,84000011,"USA",8245.42436475291,NA
"3452","Florida","US","2020-06-11 03:33:54",27.7663,-81.6868,67371,2801,NA,64570,12,313.678298602874,1279023,11621,4.15757521782369,84000012,"USA",5955.1106338624,17.2492615517062
"3453","Georgia","US","2020-06-11 03:33:54",33.0406,-83.6431,53980,2329,NA,51651,13,508.409620677258,570955,8974,4.31456094849944,84000013,"USA",5377.52899173368,16.624675805854
"3454","Grand Princess","US","2020-06-11 03:33:54",NA,NA,103,3,NA,100,99999,NA,NA,NA,2.9126213592233,84099999,"USA",NA,NA
"3455","Guam","US","2020-06-11 03:33:54",13.4443,144.7937,180,5,164,11,66,109.603054271779,8282,NA,2.77777777777778,316,"GUM",5042.95830821597,NA
"3456","Hawaii","US","2020-06-11 03:33:54",21.0943,-157.4983,685,17,621,47,15,48.380079555214,56173,84,2.48175182481752,84000015,"USA",3967.37840708765,12.2627737226277
"3457","Idaho","US","2020-06-11 03:33:54",44.2405,-114.4788,3260,85,2554,621,16,182.422015987107,59052,262,2.60736196319018,84000016,"USA",3304.41254235296,8.03680981595092
"3458","Illinois","US","2020-06-11 03:33:54",40.3495,-88.9861,129837,6095,NA,123742,17,1024.6120111703,1100726,NA,4.69434752805441,84000017,"USA",8686.40742321092,NA
"3459","Indiana","US","2020-06-11 03:33:54",39.8494,-86.2583,38337,2355,26791,9191,18,569.455628225998,320094,6261,6.14289068002191,84000018,"USA",4754.6581595162,16.3314813365678
"3460","Iowa","US","2020-06-11 03:33:54",42.0115,-93.2105,22626,631,13628,8367,19,717.131474103586,202829,NA,2.78882701317069,84000019,"USA",6428.66877755486,NA
"3461","Kansas","US","2020-06-11 03:33:54",38.5266,-96.7265,10750,240,657,9853,20,368.995583723553,123742,954,2.23255813953488,84000020,"USA",4247.4652577786,8.87441860465116
"3462","Kentucky","US","2020-06-11 03:33:54",37.6681,-84.6701,11883,484,3375,8024,21,265.977389124047,274414,2396,4.07304552722376,84000021,"USA",6142.21318346262,20.1632584364218
"3463","Louisiana","US","2020-06-11 03:33:54",31.1695,-91.8678,44030,2968,33904,7158,22,947.127362494445,460120,NA,6.74085850556439,84000022,"USA",9897.62075927649,NA
"3464","Maine","US","2020-06-11 03:33:54",44.6939,-69.3819,2637,100,2023,514,23,196.174412964622,63940,303,3.79218809252939,84000023,"USA",4756.69016494422,11.4903299203641
"3465","Maryland","US","2020-06-11 03:33:54",39.0639,-76.8021,59465,2844,4310,52311,24,983.594897513596,384642,9755,4.78264525351047,84000024,"USA",6362.26197880139,16.4046077524594
"3466","Massachusetts","US","2020-06-11 03:33:54",42.2302,-71.5301,104156,7454,NA,96702,25,1511.1491427715,672090,10582,7.1565728330581,84000025,"USA",9751.02948812645,10.1597603594608
"3467","Michigan","US","2020-06-11 03:33:54",43.3266,-84.5361,65182,5955,42041,17186,26,652.677814451534,737335,NA,9.13595777975515,84000026,"USA",7383.05354727719,NA
"3468","Minnesota","US","2020-06-11 03:33:54",45.6945,-93.9002,28869,1267,24675,2927,27,511.895102375474,369795,3482,4.3887907443971,84000027,"USA",6557.07677380368,12.0613807198032
"3469","Mississippi","US","2020-06-11 03:33:54",32.7416,-89.6787,18483,868,13356,4259,28,621.03745477797,213885,2614,4.6962073256506,84000028,"USA",7186.63615296143,14.1427257479846
"3470","Missouri","US","2020-06-11 03:33:54",38.4561,-92.2884,15512,851,NA,14661,29,252.744309179676,251629,NA,5.48607529654461,84000029,"USA",4099.90960382753,NA
"3471","Montana","US","2020-06-11 03:33:54",46.9219,-110.4544,561,18,487,56,30,52.4898528974212,54616,74,3.20855614973262,84000030,"USA",5110.13512628441,13.1907308377897
"3472","Nebraska","US","2020-06-11 03:33:54",41.1254,-98.2681,16058,191,8820,7047,31,830.124772023275,125162,989,1.18943828621248,84000031,"USA",6470.29995740299,6.15892390085939
"3473","Nevada","US","2020-06-11 03:33:54",38.3135,-117.0554,10218,449,557,9212,32,331.736444517745,187323,NA,4.39420630260325,84000032,"USA",6081.60755494202,NA
"3474","New Hampshire","US","2020-06-11 03:33:54",43.4525,-71.5639,5178,301,3501,1376,33,380.816217563879,88647,496,5.81305523368096,84000033,"USA",6519.54716847918,9.57898802626497
"3475","New Jersey","US","2020-06-11 03:33:54",40.2989,-74.521,165346,12377,28207,124762,34,1861.54540715747,1008934,18223,7.48551522262407,84000034,"USA",11359.0679776046,11.0211314455747
"3476","New Mexico","US","2020-06-11 03:33:54",34.8405,-106.2485,9250,410,3699,5141,35,441.142315372403,241657,1583,4.43243243243243,84000035,"USA",11524.8787573999,17.1135135135135
"3477","New York","US","2020-06-11 03:33:54",42.1657,-74.9481,380156,30542,68019,281595,36,1954.17178376751,2668166,89995,8.03407022380286,84000036,"USA",13715.5660087117,23.6731762750029
"3478","North Carolina","US","2020-06-11 03:33:54",35.6301,-79.8064,38473,1090,23653,13730,37,366.825818710071,553650,NA,2.83315571959556,84000037,"USA",5278.84788108104,NA
"3479","North Dakota","US","2020-06-11 03:33:54",47.5289,-99.784,2941,73,2482,386,38,385.926604397018,81660,193,2.48214892893574,84000038,"USA",10715.6635549338,6.56239374362462
"3480","Northern Mariana Islands","US","2020-06-11 03:33:54",15.0979,145.6739,30,2,19,9,69,54.4030175540403,7523,NA,6.66666666666667,580,"MNP",13642.4633686348,NA
"3481","Ohio","US","2020-06-11 03:33:54",40.3888,-82.7649,39575,2459,NA,37116,39,338.563276898991,501884,6693,6.21351863550221,84000039,"USA",4293.6068645148,16.9121920404296
"3482","Oklahoma","US","2020-06-11 03:33:54",35.5653,-96.9289,7483,356,6166,961,40,189.109295974118,237297,1075,4.7574502204998,84000040,"USA",5996.93553478153,14.3658960310036
"3483","Oregon","US","2020-06-11 03:33:54",44.572,-122.0709,5060,169,2332,2559,41,119.96954765079,156758,857,3.3399209486166,84000041,"USA",3716.63761870406,16.9367588932806
"3484","Pennsylvania","US","2020-06-11 03:33:54",40.5908,-77.2098,81316,6062,54560,20694,42,635.182548586786,544430,NA,7.45486743076393,84000042,"USA",4252.69854551508,NA
"3485","Puerto Rico","US","2020-06-11 03:33:54",18.2208,-66.5901,5329,143,NA,5186,72,181.665830324319,5329,NA,2.68343028710828,630,"PRI",181.665830324319,NA
"3486","Rhode Island","US","2020-06-11 03:33:54",41.6809,-71.5118,15756,812,1406,13538,44,1487.31169072677,183622,1828,5.15359228230515,84000044,"USA",17333.2792126574,11.6019294237116
"3487","South Carolina","US","2020-06-11 03:33:54",33.8569,-80.945,15759,575,7928,7256,45,306.076429959015,252532,1898,3.64870867440827,84000045,"USA",4904.75874169744,12.043911415699
"3488","South Dakota","US","2020-06-11 03:33:54",44.2998,-99.4388,5604,69,4573,962,46,633.464419623832,60685,503,1.23126338329764,84000046,"USA",6859.7052649665,8.97573162027123
"3489","Tennessee","US","2020-06-11 03:33:54",35.7478,-86.6923,27930,437,18516,8977,47,408.980646854217,528827,1990,1.56462585034014,84000047,"USA",7743.64513190029,7.124955245256
"3490","Texas","US","2020-06-11 03:33:54",31.0545,-97.5635,80777,1905,52449,26423,48,278.580947411117,1161087,NA,2.35834457828342,84000048,"USA",4004.31702695979,NA
"3491","Utah","US","2020-06-11 03:33:54",40.15,-111.8624,12864,128,7587,5149,49,401.252917224742,249760,954,0.995024875621891,84000049,"USA",7790.49507198784,7.4160447761194
"3492","Vermont","US","2020-06-11 03:33:54",44.0459,-72.7107,1095,55,903,137,50,175.483862696298,45742,NA,5.02283105022831,84000050,"USA",7330.5779428804,NA
"3493","Virgin Islands","US","2020-06-11 03:33:54",18.3358,-64.8963,72,6,64,2,78,67.1216019689003,2241,NA,8.33333333333333,850,"VIR",2089.15986128202,NA
"3494","Virginia","US","2020-06-11 03:33:54",37.7693,-78.17,52177,1514,6826,43837,51,611.292646645154,398364,7981,2.90166165168561,84000051,"USA",4667.13271917033,15.2960116526439
"3495","Washington","US","2020-06-11 03:33:54",47.4009,-121.4905,24354,1176,NA,23178,53,319.820646199494,415054,3747,4.82877556048288,84000053,"USA",5450.55590406851,15.3855629465386
"3496","West Virginia","US","2020-06-11 03:33:54",38.4912,-80.9545,2194,85,1485,624,54,122.422993203125,117990,NA,3.87420237010027,84000054,"USA",6583.7233218034,NA
"3497","Wisconsin","US","2020-06-11 03:33:54",44.2685,-89.6165,21593,671,14999,5923,55,370.85864777514,378705,2943,3.10748853795211,84000055,"USA",6504.23860536676,13.6294169406752
"3498","Wyoming","US","2020-06-11 03:33:54",42.756,-107.3025,980,18,804,158,56,169.327820388106,30852,92,1.83673469387755,84000056,"USA",5330.71623940189,9.38775510204082
"3499","Alabama","US","2020-06-12 05:10:05",32.3182,-86.9023,22845,755,13508,8582,1,465.921640729444,278826,2165,3.30488071788137,84000001,"USA",5686.63022096862,9.47690960822937
"3500","Alaska","US","2020-06-12 05:10:05",61.3707,-152.4044,609,11,397,201,2,83.2484672849927,69011,NA,1.80623973727422,84000002,"USA",9433.59601938363,NA
"3501","American Samoa","US","2020-06-12 05:10:05",-14.271,-170.132,0,0,NA,0,60,0,174,NA,NA,16,"ASM",312.719038119372,NA
