"","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","UID","ISO3","Testing_Rate","Hospitalization_Rate"
"194","Idaho","US","2020-04-15 22:56:51",44.2405,-114.4788,1473,39,NA,1434,16,91.4624491694179,15398,141,2.64765784114053,84000016,"USA",956.102370883026,9.57230142566191
"195","Illinois","US","2020-04-15 22:56:51",40.3495,-88.9861,24593,949,NA,23644,17,209.558002439234,116929,4283,3.85882161590697,84000017,"USA",996.356998626323,17.415524742813
"196","Indiana","US","2020-04-15 22:56:51",39.8494,-86.2583,8960,436,NA,8524,18,136.919440940808,48396,NA,4.86607142857143,84000018,"USA",739.548355331622,NA
"197","Iowa","US","2020-04-15 22:56:51",42.0115,-93.2105,1995,53,908,1942,19,76.1243218925537,19869,171,2.65664160401003,84000019,"USA",758.152456984035,8.57142857142857
"198","Kansas","US","2020-04-15 22:56:51",38.5266,-96.7265,1504,71,NA,1433,20,61.6775641299035,14668,342,4.72074468085106,84000020,"USA",601.520286341372,22.7393617021277
"199","Kentucky","US","2020-04-15 22:56:51",37.6681,-84.6701,2210,115,653,2095,21,64.5575340540992,27697,687,5.20361990950226,84000021,"USA",809.072407554926,31.0859728506787
"200","Louisiana","US","2020-04-15 22:56:51",31.1695,-91.8678,21951,1103,NA,20848,22,477.479441041697,121928,1943,5.02482802605804,84000022,"USA",2652.18501605084,8.85153295977404
"201","Maine","US","2020-04-15 22:56:51",44.6939,-69.3819,770,24,305,746,23,65.5873990422536,14846,126,3.11688311688312,84000023,"USA",1264.55912491078,16.3636363636364
"202","Maryland","US","2020-04-15 22:56:51",39.0639,-76.8021,10032,311,607,9721,24,168.794119799742,55763,2231,3.10007974481659,84000024,"USA",938.244268579846,22.2388357256778
"203","Massachusetts","US","2020-04-15 22:56:51",42.2302,-71.5301,29918,1108,NA,28810,25,435.88277699201,132023,3454,3.70345611337656,84000025,"USA",1923.47589634388,11.5448893642623
"204","Michigan","US","2020-04-15 22:56:51",43.3266,-84.5361,28059,1921,452,26138,26,352.178835908309,89697,3918,6.84628817848106,84000026,"USA",1125.82005932028,13.9634341922378
"205","Minnesota","US","2020-04-15 22:56:51",45.6945,-93.9002,1809,87,940,1722,27,36.5717122960606,40242,445,4.80928689883914,84000027,"USA",813.553812171406,24.5992260917634
"206","Mississippi","US","2020-04-15 22:56:51",32.7416,-89.6787,3360,122,NA,3238,28,116.05391809771,38151,645,3.63095238095238,84000028,"USA",1317.73006825766,19.1964285714286
"207","Missouri","US","2020-04-15 22:56:51",38.4561,-92.2884,4791,153,NA,4638,29,81.765269676912,49012,1024,3.19348778960551,84000029,"USA",836.459903444961,21.3734084742225
"208","Montana","US","2020-04-15 22:56:51",46.9219,-110.4544,404,7,209,397,30,46.6519705261164,9583,51,1.73267326732673,84000030,"USA",1106.59859790043,12.6237623762376
"209","Nebraska","US","2020-04-15 22:56:51",41.1254,-98.2681,901,20,NA,881,31,59.0714311939116,11729,NA,2.21975582685905,84000031,"USA",768.9775987496,NA
"210","Nevada","US","2020-04-15 22:56:51",38.3135,-117.0554,3211,131,NA,3080,32,106.440918660376,27655,NA,4.07972594207412,84000032,"USA",916.73111353245,NA
"211","New Hampshire","US","2020-04-15 22:56:51",43.4525,-71.5639,1139,32,365,1107,33,85.7585148643073,12166,178,2.80948200175593,84000033,"USA",916.012372115156,15.6277436347673
"212","New Jersey","US","2020-04-15 22:56:51",40.2989,-74.521,71030,3156,NA,67874,34,799.69016650173,144021,8270,4.44319301703506,84000034,"USA",1621.45822145214,11.6429677601014
"213","New Mexico","US","2020-04-15 22:56:51",34.8405,-106.2485,1484,36,340,1448,35,88.9937410534004,32850,181,2.42587601078167,84000035,"USA",1969.97600647184,12.1967654986523
"214","New York","US","2020-04-15 22:56:51",42.1657,-74.9481,214454,11617,23887,202837,36,1271.89183338498,526012,46201,5.41701250617848,84000036,"USA",3119.69171506477,21.5435478004607
"215","North Carolina","US","2020-04-15 22:56:51",35.6301,-79.8064,5340,130,NA,5210,37,53.8421788941684,67827,431,2.43445692883895,84000037,"USA",683.886417201265,8.07116104868914
"216","North Dakota","US","2020-04-15 22:56:51",47.5289,-99.784,365,9,142,356,38,60.1895062481655,11317,44,2.46575342465753,84000038,"USA",1866.20449920682,12.0547945205479
"217","Northern Mariana Islands","US","2020-04-15 22:56:51",15.0979,145.6739,13,2,NA,11,69,23.5746409400841,40,NA,15.3846153846154,580,"MNP",72.5373567387204,NA
"218","Ohio","US","2020-04-15 22:56:51",40.3888,-82.7649,7794,362,NA,7432,39,69.7520820915959,71552,2237,4.64459840903259,84000039,"USA",640.351677934035,28.7015653066461
"219","Oklahoma","US","2020-04-15 22:56:51",35.5653,-96.9289,2263,123,1115,2140,40,61.8705972221387,29219,510,5.43526292532037,84000040,"USA",798.849748225219,22.5364560318162
"220","Oregon","US","2020-04-15 22:56:51",44.572,-122.0709,1663,58,NA,1605,41,41.5016044125963,33351,401,3.48767288033674,84000041,"USA",832.303072017138,24.1130487071557
"221","Pennsylvania","US","2020-04-15 22:56:51",40.5908,-77.2098,26753,779,NA,25974,42,212.5362969302,137584,2395,2.91182297312451,84000042,"USA",1093.0211145234,8.95226703547266
"222","Puerto Rico","US","2020-04-15 22:56:51",18.2208,-66.5901,974,51,NA,923,72,33.2037002694477,7799,NA,5.23613963039014,630,"PRI",265.868232444992,NA
"223","Rhode Island","US","2020-04-15 22:56:51",41.6809,-71.5118,3251,80,168,3171,44,306.883111611622,25897,331,2.46078129806213,84000044,"USA",2444.58687831627,10.1814826207321
"224","South Carolina","US","2020-04-15 22:56:51",33.8569,-80.945,3656,106,NA,3550,45,72.5400423613212,34733,675,2.89934354485777,84000045,"USA",689.150243800813,18.4628008752735
"225","South Dakota","US","2020-04-15 22:56:51",44.2998,-99.4388,1168,6,329,1162,46,158.718942453512,9859,51,0.513698630136986,84000046,"USA",1339.73463497361,4.36643835616438
"226","Tennessee","US","2020-04-15 22:56:51",35.7478,-86.6923,5827,124,2196,5703,47,88.759528092383,80896,663,2.12802471254505,84000047,"USA",1232.24485748437,11.3780676162691
"227","Texas","US","2020-04-15 22:56:51",31.0545,-97.5635,15907,375,3150,15532,48,69.2073257348705,151810,1538,2.35745269378261,84000048,"USA",660.486837229565,9.66869931476708
"228","Utah","US","2020-04-15 22:56:51",40.15,-111.8624,2548,20,218,2528,49,88.9080569262796,47614,221,0.784929356357928,84000049,"USA",1661.40825058394,8.6734693877551
"229","Vermont","US","2020-04-15 22:56:51",44.0459,-72.7107,759,29,15,730,50,124.305795532525,11081,63,3.82081686429513,84000050,"USA",1814.79910447419,8.300395256917
"230","Virgin Islands","US","2020-04-15 22:56:51",18.3358,-64.8963,51,1,44,50,78,47.5444680613044,382,NA,1.96078431372549,850,"VIR",356.117388223888,NA
"231","Virginia","US","2020-04-15 22:56:51",37.7693,-78.17,6500,195,752,6305,51,82.2032494312167,44169,1298,3,84000051,"USA",558.590049865756,19.9692307692308
"232","Washington","US","2020-04-15 22:56:51",47.4009,-121.4905,10942,552,NA,10390,53,144.938613026752,122854,645,5.04478157558033,84000053,"USA",1627.33397594485,5.89471760190093
"233","West Virginia","US","2020-04-15 22:56:51",38.4912,-80.9545,702,10,211,692,54,53.0613047034085,17656,164,1.42450142450142,84000054,"USA",1334.54472342362,23.3618233618234
"234","Wisconsin","US","2020-04-15 22:56:51",44.2685,-89.6165,3721,183,NA,3538,55,71.9093428228156,43047,1091,4.91803278688525,84000055,"USA",831.895049850509,29.3200752485891
"235","Wyoming","US","2020-04-15 22:56:51",42.756,-107.3025,287,1,129,286,56,57.7186067090339,6329,43,0.348432055749129,84000056,"USA",1272.82599951734,14.9825783972125
"236","Recovered","US","",NA,NA,0,0,52096,-52096,NA,NA,NA,NA,NA,84070001,"USA",NA,NA
"237","Alabama","US","2020-04-16 23:30:51",32.3182,-86.9023,4345,133,NA,4212,1,92.6657164787369,36391,553,3.06098964326812,84000001,"USA",776.110031847575,12.7272727272727
"238","Alaska","US","2020-04-16 23:30:51",61.3707,-152.4044,300,9,110,291,2,50.1882897336507,8735,35,3,84000002,"USA",1461.3157027448,11.6666666666667
"239","American Samoa","US","",-14.271,-170.132,0,0,NA,NA,60,0,3,NA,NA,16,"ASM",5.39170755378228,NA
"240","Arizona","US","2020-04-16 23:30:51",33.7298,-111.4312,4237,150,460,4087,4,58.2108083059144,47398,578,3.54024073637007,84000004,"USA",651.186191192761,13.6417276374793
"241","Arkansas","US","2020-04-16 23:30:51",34.9697,-92.3731,1620,37,548,1583,5,62.57176923995,22675,85,2.28395061728395,84000005,"USA",875.811646614732,5.24691358024691
"242","California","US","2020-04-16 23:30:51",36.1162,-119.6816,27677,956,NA,26721,6,70.5890694444232,246400,5031,3.45774469776349,84000006,"USA",628.433237385044,18.1775481446689
"243","Colorado","US","2020-04-16 23:30:51",39.0598,-105.3111,8286,355,NA,7931,8,146.21975350166,40533,1636,4.28433502293024,84000008,"USA",715.269764504317,19.7441467535602
"244","Connecticut","US","2020-04-16 23:30:51",41.5978,-72.7554,15884,971,NA,14913,9,445.518130798446,53122,1926,6.11306975572904,84000009,"USA",1489.97822615683,12.125409216822
"245","Delaware","US","2020-04-16 23:30:51",39.3185,-75.5071,2070,55,378,2015,10,212.577174756923,13350,209,2.65700483091787,84000010,"USA",1370.96873575117,10.0966183574879
"246","Diamond Princess","US","2020-04-16 23:30:51",NA,NA,49,0,0,49,88888,NA,NA,NA,0,84088888,"USA",NA,NA
"247","District of Columbia","US","2020-04-16 23:30:51",38.8974,-77.0268,2350,81,552,2269,11,332.979572057488,12150,313,3.4468085106383,84000011,"USA",1721.57523425467,13.3191489361702
"248","Florida","US","2020-04-16 23:30:51",27.7663,-81.6868,23343,668,NA,22675,12,109.939401691907,219248,3460,2.8616715931971,84000012,"USA",1032.60052016224,14.8224307072784
"249","Georgia","US","2020-04-16 23:30:51",33.0406,-83.6431,15669,587,NA,15082,13,154.535878035303,67939,3108,3.74625055842747,84000013,"USA",670.049972419454,19.835343672219
"250","Grand Princess","US","2020-04-16 23:30:51",NA,NA,103,0,0,103,99999,NA,NA,NA,0,84099999,"USA",NA,NA
"251","Guam","US","2020-04-16 23:30:51",13.4443,144.7937,135,5,86,130,66,82.2022907038343,1005,9,3.7037037037037,316,"GUM",611.950386350766,6.66666666666667
"252","Hawaii","US","2020-04-16 23:30:51",21.0943,-157.4983,530,9,359,521,15,37.4350360859621,20700,45,1.69811320754717,84000015,"USA",1462.08537165928,8.49056603773585
"253","Idaho","US","2020-04-16 23:30:51",44.2405,-114.4788,1587,41,NA,1546,16,98.541009390269,15831,143,2.58349086326402,84000016,"USA",982.988481195556,9.0107120352867
"254","Illinois","US","2020-04-16 23:30:51",40.3495,-88.9861,25734,1072,NA,24662,17,219.280512128298,122589,4423,4.1656951892438,84000017,"USA",1044.58610015139,17.1873785653221
"255","Indiana","US","2020-04-16 23:30:51",39.8494,-86.2583,9542,477,NA,9065,18,145.813092126918,51115,NA,4.9989520016768,84000018,"USA",781.097904429619,NA
"256","Iowa","US","2020-04-16 23:30:51",42.0115,-93.2105,2141,60,987,2081,19,81.6953248982243,20675,175,2.80242877160206,84000019,"USA",788.907446179723,8.17375058383933
"257","Kansas","US","2020-04-16 23:30:51",38.5266,-96.7265,1615,80,NA,1535,20,66.2295652059801,16122,359,4.95356037151703,84000020,"USA",661.147399536106,22.2291021671827
"258","Kentucky","US","2020-04-16 23:30:51",37.6681,-84.6701,2435,129,862,2306,21,71.1301336749917,28324,807,5.29774127310062,84000021,"USA",827.388051831813,33.1416837782341
"259","Louisiana","US","2020-04-16 23:30:51",31.1695,-91.8678,22532,1156,NA,21376,22,490.117387160108,126586,1914,5.13048109355583,84000022,"USA",2753.50610558536,8.49458547843068
"260","Maine","US","2020-04-16 23:30:51",44.6939,-69.3819,796,27,333,769,23,67.8020384904336,14872,130,3.39195979899498,84000023,"USA",1266.77376435896,16.3316582914573
"261","Maryland","US","2020-04-16 23:30:51",39.0639,-76.8021,10784,319,736,10465,24,181.446948556661,58843,2451,2.95808605341246,84000024,"USA",990.067024658714,22.728115727003
"262","Massachusetts","US","2020-04-16 23:30:51",42.2302,-71.5301,32181,1108,NA,31073,25,468.852986375422,140773,3454,3.4430253876511,84000025,"USA",2050.9568208268,10.7330412355116
"263","Michigan","US","2020-04-16 23:30:51",43.3266,-84.5361,28809,1996,617,26813,26,361.592361940286,94286,3809,6.92839043354507,84000026,"USA",1183.41828726793,13.2215627060988
"264","Minnesota","US","2020-04-16 23:30:51",45.6945,-93.9002,1809,87,1020,1722,27,36.5717122960606,41675,475,4.80928689883914,84000027,"USA",842.524107207478,26.2576008844666
"265","Mississippi","US","2020-04-16 23:30:51",32.7416,-89.6787,3624,129,NA,3495,28,125.172440233959,38415,682,3.55960264900662,84000028,"USA",1326.84859039391,18.8189845474614
"266","Missouri","US","2020-04-16 23:30:51",38.4561,-92.2884,5174,169,NA,5005,29,88.3017126504577,50648,1043,3.26633165829146,84000029,"USA",864.380584136138,20.1584847313491
"267","Montana","US","2020-04-16 23:30:51",46.9219,-110.4544,415,7,218,408,30,47.922197446382,9936,52,1.68674698795181,84000030,"USA",1147.3613345235,12.5301204819277
"268","Nebraska","US","2020-04-16 23:30:51",41.1254,-98.2681,952,21,NA,931,31,62.4150971105482,12294,NA,2.20588235294118,84000031,"USA",806.020172139789,NA
"269","Nevada","US","2020-04-16 23:30:51",38.3135,-117.0554,3214,137,NA,3077,32,106.540365174229,28451,NA,4.26260112009956,84000032,"USA",943.117588541375,NA
"270","New Hampshire","US","2020-04-16 23:30:51",43.4525,-71.5639,1139,32,365,1107,33,85.7585148643073,12166,178,2.80948200175593,84000033,"USA",916.012372115156,15.6277436347673
"271","New Jersey","US","2020-04-16 23:30:51",40.2989,-74.521,75317,3518,NA,71799,34,847.955290305657,151830,8224,4.67092422693416,84000034,"USA",1709.37572828323,10.9191815924692
"272","New Mexico","US","2020-04-16 23:30:51",34.8405,-106.2485,1484,36,353,1448,35,88.9937410534004,33394,215,2.42587601078167,84000035,"USA",2002.59904901432,14.4878706199461
"273","New York","US","2020-04-16 23:30:51",42.1657,-74.9481,223691,14832,23887,208859,36,1326.67497972395,550579,50450,6.63057521312883,84000036,"USA",3265.39460086205,22.5534330840311
"274","North Carolina","US","2020-04-16 23:30:51",35.6301,-79.8064,5639,150,NA,5489,37,56.8569376000403,70917,452,2.66004610746586,84000037,"USA",715.042284763621,8.01560560383047
"275","North Dakota","US","2020-04-16 23:30:51",47.5289,-99.784,393,9,163,384,38,64.8067834398055,11704,45,2.29007633587786,84000038,"USA",1930.02186610556,11.4503816793893
"276","Northern Mariana Islands","US","2020-04-16 23:30:51",15.0979,145.6739,13,2,NA,11,69,23.5746409400841,40,NA,15.3846153846154,580,"MNP",72.5373567387204,NA
"277","Ohio","US","2020-04-16 23:30:51",40.3888,-82.7649,8414,407,NA,8007,39,75.3007465638553,74840,2331,4.83717613501307,84000039,"USA",669.777498554662,27.7038269550749
"278","Oklahoma","US","2020-04-16 23:30:51",35.5653,-96.9289,2357,131,1240,2226,40,64.4405645835532,30899,528,5.55791260076368,84000040,"USA",844.781079790925,22.4013576580399
"279","Oregon","US","2020-04-16 23:30:51",44.572,-122.0709,1736,64,NA,1672,41,43.3233825978757,34938,414,3.68663594470046,84000041,"USA",871.908030647799,23.8479262672811
"280","Pennsylvania","US","2020-04-16 23:30:51",40.5908,-77.2098,28258,841,NA,27417,42,224.492605638754,141470,2512,2.97614834737066,84000042,"USA",1123.8930186041,8.8895180125982
"281","Puerto Rico","US","2020-04-16 23:30:51",18.2208,-66.5901,1043,56,NA,987,72,35.5559131222114,8358,NA,5.36912751677852,630,"PRI",284.924565556513,NA
"282","Rhode Island","US","2020-04-16 23:30:51",41.6809,-71.5118,3529,87,182,3442,44,333.125346317261,28064,331,2.46528761688864,84000044,"USA",2649.14415388144,9.37942759988665
