"","state","confirmed","deaths","active","people_tested","negative","positive","totaltestresults","mortality_rate","incident_rate","density","pop","landarea","num_hospitals","num_beds","state_population","hospitals_per_100k","beds_per_100k","state_area_sqmiles","hospitals_per_1000sqmile","beds_per_1000sqmile","num_colleges","avg_cost","vote_diff","pct_diff","party","republican","never","rarely","sometimes","frequently","always","population","pct_never","pct_rarely","pct_sometimes","pct_frequently","pct_always","status.of.reopening","stay.at.home.order","mandatory.quarantine.for.travelers","non.essential.business.closures","large.gatherings.ban","restaurant.limits","bar.closures","face.covering.requirement","emergency.declaration","start.of.stay.at.home","end.of.stay.at.home","masks.required.","travel.restrictions","had.stay.at.home","ongoing.stay.at.home","region","duration","log_confirmed","log_deaths","log_active","log_people_tested","log_negative","log_positive","log_totaltestresults","log_density","log_num_hospitals","log_num_beds","log_hospitals_per_100k","log_beds_per_100k","log_state_area_sqmiles","log_hospitals_per_1000sqmile","log_beds_per_1000sqmile","log_num_colleges","log_never","log_rarely","log_sometimes","log_frequently","log_always","log_population","confirmed_per_100k","deaths_per_100k","active_per_100k","people_tested_per_100k","negative_per_100k","positive_per_100k","totaltestresults_per_100k","num_colleges_per_100k","never_per_100k","rarely_per_100k","sometimes_per_100k","frequently_per_100k","always_per_100k"
"1","AK",-0.775627430937203,-0.701411340270827,-0.529735420830515,-0.631986792140951,-0.553842137726888,-0.777438763811785,-0.63058262783713,-1.15493346381353,-1.2251995508204,-0.757685011528182,-0.785821483461231,5.8264883220453,-0.927507056283683,-0.873568520460963,-0.785821483461231,0.643271851713954,-0.831888440150274,5.8264883220453,-1.06602226518786,-0.753699763972612,-0.945006389000406,-0.927288175144753,-0.133508400496565,0.318401405357927,"R","1",-1.07187638906065,-1.08112415293227,-1.03633592448917,-0.894344044579947,-0.697286862033794,-0.790504784040943,0.281115879828326,0.327380952380952,0.376706827309237,0.827087442472058,0.549149892515145,"reopened","lifted","All Travelers","all reopen","normal","reopened","reopened","employees","Yes","28-Mar","24-Apr","0","1","1","0","west","27",-1.5632125449395,-2.16727209385678,-1.02197543625911,-0.939941969777254,-0.740801889565875,-1.48510590201618,-0.933526129226239,-3.09083553173956,-1.43746150217469,-1.8643045218762,0.910974597715157,-0.81776834894531,2.21658844399949,-3.76295402168859,-3.24537918330621,-2.27335399571334,-1.66225272834612,-1.52026912752977,-1.81834698109231,-1.49651791316823,-1.51334758880439,-1.68976055176993,-0.767009091204717,-1.20007689970278,-0.447260763617932,1.99180165147699,3.30239919876689,-0.561527491728678,2.01086924818572,-1.06788148022096,-0.127771324553315,-0.0728342550789119,-0.536392908118943,1.16227591919226,-0.146317378994867
"2","AL",0.0662855039162015,-0.255292324350112,0.0449893892778854,-0.403683256972984,-0.361655009281714,0.0702214328402674,-0.404555634960009,-0.527607907280795,1.72422961030454,-0.40005143717164,-0.227719672124693,-0.232963475848565,-0.127175908426604,-0.00341800932953104,-0.227719672124693,-0.232435924469035,1.03277385035792,-0.232963475848565,-0.340994460197926,-0.274985604641801,-0.321800736781913,-0.605898092458496,-0.848063096711239,0.603645147123408,"R","1",0.339440312954517,0.244815265312749,0.207353874237535,-0.0816606936185242,-0.321926835655348,-0.222809086339898,0.425608011444921,0.41468253968254,0.808032128514056,0.704799474030243,0.415282392026578,"paused","lifted","-","all restricted reopen","normal","reopened","reopened","public","Yes","4-Apr","30-Apr","1","0","1","0","south","26",0.551282486509385,0.296649542501283,0.716025648426194,-0.144644535657731,-0.072828182138081,0.551230335846968,-0.146420860327626,0.012838275841009,0.230479324915215,0.457048750169813,0.00279445427773023,1.04872098628612,0.149415193567258,0.0208460947972405,0.213017601380963,0.0190359758699269,0.632320661153701,0.551028576512409,0.572935399998558,0.349782755805291,0.0588492158742863,0.194948678412021,1.20846271765565,0.0284389856674778,1.00230821064617,-0.782028168255431,-0.736076853827429,1.19172329706231,-0.784249053540026,-0.640334229131572,0.462285595052616,0.275831276626818,1.05101084886801,0.682829560450621,-0.65249819558443
"3","AR",-0.3180078638567,-0.425735936937404,-0.50648175064552,-0.4085527279783,-0.34742742388962,-0.319235049217249,-0.409018978527488,-0.439890585136852,0.256200431613016,-0.544095021415167,-0.477667884993755,-0.216765970484922,-0.236810312242642,-0.381600957873294,-0.477667884993755,0.36494612439998,0.923674174748957,-0.216765970484922,-0.437407732138076,-0.473440298611008,-0.284030697253519,-1.12184182801087,-0.473056245574295,0.586078173034695,"R","1",-0.265288767395868,-0.340214751748905,-0.338578090687545,-0.445904911280126,-0.495054889722185,-0.479151964049109,0.427753934191703,0.412037037037037,0.782329317269076,0.724523339907955,0.416259527066641,"paused","no data","Lifted","no data","normal","restricted","reopened","no data","no data",NA,NA,"1","0","0","0","south","no data",0.115226601214522,-0.010782901601429,-0.696265764401526,-0.156131598813792,-0.0385542321414915,0.114136447492559,-0.156976333758686,-0.350902074760796,0.100542831706678,-0.0297717016549229,0.66846100779043,0.961642743498181,0.172525334246276,-0.115505909663092,-0.167086734937471,0.0752138907456966,0.141035777735688,0.0736562818646444,0.0753199177334181,-0.123143685976972,-0.36462554793128,-0.28062421445682,0.970732904674336,0.0603844233091696,-0.924310688904955,0.083312791896482,0.478758625273886,0.961253563990349,0.0798372177722093,1.16851952547739,0.470913789992854,0.266803056572511,0.954410146970893,0.759666909385503,-0.648244817326669
"4","AZ",0.32999362883448,0.22351232354478,0.53343656327934,-0.281506846949957,-0.256100670390257,0.338062363138719,-0.281684041118641,0.0356288964450875,1.6839531442483,-0.519593951566568,0.102475550711451,0.500573765256407,-0.149102789189812,-0.241549758072693,0.102475550711451,-0.700837758241331,-1.35076048935437,0.500573765256407,-0.757499794979377,-0.595954822799936,-0.10462300949365,0.20079875539063,-0.191937614832786,0.0726833552920511,"R","1",-0.352624586748587,-0.229819838339206,-0.100568726444985,-0.0508039040794382,0.173102226748659,0.098644311534072,0.103004291845494,0.159391534391534,0.308433734939759,0.268244575936884,0.828805940981043,"restricted","lifted","Lifted","new closures","new limits","new limits","closed","employees","Yes","31-Mar","15-May","0","0","1","0","west","45",0.752860212724067,0.768710410730833,1.06280449788172,0.105177642018384,0.154990279100675,0.753888681435488,0.105271297902824,-0.274550738623047,0.205598469806082,0.180014805413986,-0.77280710934377,-1.5588203695526,0.838885696518608,-0.787168387710384,-0.571917398876657,0.308229750026016,0.045388886047234,0.183608807291343,0.324050881772627,0.381178148946402,0.704861692790416,0.579691463554401,0.723217336522532,0.586352219441277,1.49126845140652,-0.951839095864784,-0.969002963980784,0.709378126409564,-0.950468932905766,-0.936328479885766,-0.855815082712479,-0.740991134574378,-0.78705645004528,-1.03161363413105,0.910865363114415
"5","CA",3.61753125791888,2.05295106145553,4.50796691074,4.60812714777143,4.69111012339161,3.62268775921956,4.61243578615895,-0.308847467346425,-0.512145519455814,0.196220291351074,4.45526722082941,0.992150573720611,3.69906478475313,3.86514709545788,4.45526722082941,-0.816241108591028,-0.779728144677652,0.992150573720611,0.0215194422970417,0.0333697258639911,4.02175380898334,0.578218895452489,5.56012646303679,0.656126482213439,"D","0",2.73998530874241,1.86177555144922,3.15890861277207,3.9967102289847,4.68372608054975,4.46043359877204,0.0693848354792561,0.0634920634920635,0.175903614457831,0.20249835634451,0.919679499706859,"reopened","statewide","-","new closures","all banned","restricted","closed","public","no data","19-Mar",NA,"1","0","1","1","west","no data",1.80707698719267,1.48230383825574,1.96210042160842,2.29083709591254,2.35496772374293,1.80420505653575,2.29063677493601,0.711340163038212,2.05241810819001,2.02382256310415,-1.02861715426126,-0.750756605015558,1.10843596306168,0.410345598251597,0.567544592914722,2.14331852782426,1.57147533010518,1.25810359267456,1.6909587638967,1.9981653116068,2.22954726663842,2.22712828174814,-0.243191024813679,-0.337801622256171,1.08791621502194,0.192020205805399,0.720978494733683,-0.278606367239015,0.197489835877415,-0.936328479885766,-0.99250170225169,-1.12436333922412,-1.2755274776888,-1.29001605541547,1.25372280623869
"6","CO",-0.376870932490788,-0.358610809809949,-0.0824025200607214,-0.251750846052805,-0.391830262567346,-0.382526705267369,-0.247662991475597,-0.0280441501954407,-0.491416958673114,-0.551580825780759,-0.102464818133425,0.384604288005351,-0.214883431479435,-0.374782822847088,-0.102464818133425,-0.544703813650566,-1.28317057768173,0.384604288005351,-0.749786733224165,-0.613248976459029,-0.227375637960929,0.564411862023281,0.108273616679159,0.102766798418972,"D","0",-0.547728507982117,-0.198976659688797,-0.227467354865361,0.0417944398683178,-0.100709857071488,-0.107037218815287,0.100143061516452,0.225529100529101,0.369477911646586,0.648257725180802,0.684385382059801,"restricted","lifted","-","some restricted reopen","above 25 banned","restricted","closed","public","Yes","26-Mar","26-Apr","1","0","1","0","west","31",0.0205085284181622,0.127843483378586,0.57758382862073,0.157089022445147,-0.150138809435919,0.0131348671702249,0.164428466174228,-0.375946691925311,0.127685769363692,-0.0184347974347037,-0.475806027163757,-1.45360344863532,0.760627508684482,-0.764169143137243,-0.653120422218242,0.154360065928008,-0.207801011018849,0.212220948162418,0.199409567207469,0.469856509032871,0.407083290113572,0.351577633128983,-0.909202717715825,-0.472878000315923,0.262719410333689,-0.531706656381976,-1.11926697022451,-0.922171592266332,-0.51793841133722,-0.722554854341071,-0.867993313837068,-0.478600244597432,-0.564563926000707,0.460700896881588,0.364827312446305
"7","CT",-0.511569312059204,0.0175131210538711,-0.265532321584023,-0.151799193253471,-0.0712604764204762,-0.518657276219681,-0.157109401415852,2.77527510413003,-1.01097205120326,1.98931575051141,-0.407603989977432,-0.766700409784465,-0.872689854375664,-0.477893143530292,-0.407603989977432,-1.02668251216989,-0.421433340174612,-0.766700409784465,1.22861360698773,1.78826971094429,-0.387898305956602,0.370886763415144,0.224299810543219,0.294466403162055,"D","0",-0.91480487918798,-0.948027733968785,-0.716507839838458,-0.651845757954773,-0.269923824120062,-0.403851420481803,0.0522174535050071,0.076058201058201,0.224096385542169,0.0769230769230769,0.94625757279656,"reopened","lifted","From Certain States (New)","all restricted reopen","above 25 banned","restricted","closed","public","Yes","23-Mar","20-May","1","1","1","0","northeast","58",-0.251984848295864,0.604956413449378,0.294675840567272,0.312935484190495,0.45257651002534,-0.261027425831005,0.305725277223964,1.46850628470532,-1.21146154376392,-0.205910841364243,-1.61522178274852,-0.320153691184862,-1.85424958261236,1.13292474084887,1.40639869632841,-0.086898641078259,-0.981018338125551,-0.977145537189394,-0.530402883984435,-0.542429289168139,0.154120388198359,-0.115362731607123,-0.677906688553149,1.78745036699308,0.258561247563179,0.98557804395433,1.82847341991218,-0.694015454970387,0.959652326374072,-0.0154574775393858,-1.06201228729343,-1.0752463395891,-1.09719476786887,-1.78337790056298,1.35421523767511
"8","DE",-0.719618538397172,-0.60383277066987,-0.500688349785362,-0.698183947820156,-0.627820126280228,-0.728174310809187,-0.697726945620148,0.265083666062946,-0.0310351375371693,1.12338042846816,-0.752547149347551,-0.800412196127642,-1.09195866200774,-0.825562143514148,-0.752547149347551,-0.952009756061258,-0.372959767156861,-0.800412196127642,0.700268876755704,1.01268684956938,-0.897793839589914,0.740402725501242,-0.00503429518794963,0.245937637241985,"D","0",-1.14308799066127,-1.22119179909697,-1.04405592009924,-0.948186629058058,-0.629204912884069,-0.754532393846314,0.0608011444921316,0,0.179919678714859,0,1,"restricted","lifted","Lifted","some restricted reopen","normal","restricted","new limits","public","Yes","24-Mar","31-May","1","0","1","0","south","68",-1.05386137959068,-0.650795441006585,-0.63708337935707,-1.40104206606107,-1.23571275228817,-1.063467598731,-1.40047892802135,1.19716465662323,-2.60880491860511,-1.43921127140117,-1.38470809696742,-0.265509173935849,-2.63096866173562,0.879091259312692,1.14567205415592,-1.79565254344164,-2.23958784717276,-3.04002362664133,-1.88563446022084,-1.9357628752023,-0.943822361335114,-1.37926924056914,-0.081245782038203,0.314690230047362,-0.123038991614861,-0.341266888678218,-0.0570578082873691,-0.0928562653418531,-0.34365272078534,-0.788331354508669,-1.02703785673649,-1.37769171140839,-1.26031595554891,-2.086633746571,1.55734266875869
"9","FL",2.98935125412961,1.90530767019657,3.78446665149425,1.02250123606045,0.931391980129187,3.02838333996735,1.01060882701736,-0.188342090111254,1.45852122768993,0.771185636142447,2.05627934851905,-0.198237888809965,1.36385198347151,2.38013493220904,2.05627934851905,-0.856971702832097,-0.0206729548025002,-0.198237888809965,0.592286012182735,0.833067372456615,1.83109151633652,0.572340446371265,-0.220527716166081,0.0212999560825649,"R","1",2.43494595674385,2.20106337864652,2.29087546523534,2.11692774964461,1.88123275032807,2.02003422565876,0.183118741058655,0.19047619047619,0.368674698795181,0.345825115055884,0.761579050224741,"reopened","lifted","Lifted","all reopen","normal","reopened","reopened","employees","Yes","3-Apr","30-Apr","0","0","1","0","south","27",1.68743601362085,1.44616555373838,1.87175038854001,1.27618889215102,1.28782725313882,1.69131216354693,1.27010722418713,1.04872040966538,1.27702276292895,1.66762253358889,-1.12828803339568,0.109419914164151,0.198215471292349,0.81798243717658,1.06889731593965,1.52863007825765,1.49049556208861,1.35804054476221,1.47317787467304,1.5334536567262,1.60276338316912,1.6334694449665,1.08469993063743,0.480957429111601,2.44042656582365,-0.716594488521432,-0.680291012889087,1.05866187845731,-0.723164594037263,-0.837663729634368,-0.529115333016281,-0.619173482742841,-0.566810041568284,-0.728298386455,0.656440373379838
"10","GA",0.886203043723521,0.532670569388335,1.39369082190129,0.250774260585748,0.263904338115531,0.899349593670488,0.247436421857492,-0.115416949840279,0.746668675639277,-0.0644261575662332,0.551352124031855,-0.152931485317993,0.57448427599604,0.469492306996363,0.551352124031855,-0.558280678397589,-0.477416903378212,-0.152931485317993,-0.00161974296859453,-0.12267719197087,0.24474985614399,-0.093482821004694,-0.350084649965476,0.107597716293369,"R","1",1.79159941919883,1.59386348713376,1.41604650182289,0.824710234320037,0.309014840985774,0.550432958541231,0.366952789699571,0.355820105820106,0.675502008032128,0.556213017751479,0.52530779753762,"reopened","high risk","-","all reopen","normal","reopened","reopened","employees","Yes","3-Apr","30-Apr","0","0","1","0","south","27",1.0595948738312,0.956716657939193,1.4030602702863,0.762855222396243,0.824039657073856,1.06062488378681,0.760232934978233,0.483507922439739,0.835591744412302,0.845890722593467,-0.49978293847818,-0.384268794926252,0.25795861355109,0.38962207716549,0.409846481215672,0.654540116297135,1.29502428202261,1.17118512035296,1.18920834580695,1.01016972623484,0.821782510860575,0.947364519228939,0.763050763244137,0.408011154181754,2.10760638186045,-0.4684152353988,-0.300868575848762,0.742114517923989,-0.471427109864484,-1.06788148022096,0.223953988862199,0.0426435917291012,0.562264967608988,0.0986735570628621,-0.236322230771579
"11","HI",-0.7654332406738,-0.678451676835308,-0.543627000977921,-0.649330403917802,-0.634311191346786,-0.773984229065518,-0.648694380580303,-0.593483914896443,-1.05802326207889,0.0599874772036676,-0.695088151182117,-0.748277204043517,-0.971360817810098,-0.815111395564143,-0.695088151182117,-0.612588137385682,-1.21421521324803,-0.748277204043517,0.117932714237193,-0.178883191362925,-0.831696270415226,-0.175202328457671,0.110460376286605,0.687527448397014,"D","0",-1.15430136914198,-1.16221075813316,-1.06324598936385,-0.864876094835575,-0.566790274966733,-0.694718645248085,0,0.0462962962962963,0,0.201183431952663,0.985538401407074,"restricted","high risk","All Travelers","some reopen","new limits","new limits","new limits","public","Yes","25-Mar","3-May","1","1","1","0","west","39",-1.44257557433058,-1.41839505632907,-1.36572779652155,-1.04049983616161,-1.29550290668997,-1.44698899306397,-1.03827788021912,0.601281061239811,-1.65519680581514,-1.36706205611781,-0.598998471027547,-1.34921203683681,-1.61307925744118,0.492254705061555,0.34333150747582,-1.35727111972491,-2.37010675002368,-2.11400754496347,-2.07646860652282,-1.31893389739668,-0.626474962160541,-1.01478125697425,-1.50312201184149,-1.0652520605221,-1.03070950713327,-0.318822848138143,-0.923896721346733,-1.49512271031811,-0.317054007071037,-0.722554854341071,-1.27557545172686,-1.19393762065373,-1.92434455812031,-1.29405020347894,1.50293576430718
"12","IA",-0.271088955284617,-0.451725000409555,-0.413861684574196,-0.537770055130654,-0.487157170615315,-0.301603979950279,-0.538250517403164,-0.614318005345031,1.53038939821456,-0.549609342085315,-0.458837745295524,-0.172228657175685,0.223654183784718,-0.224169102391134,-0.458837745295524,1.17955800922137,1.92700886357835,-0.172228657175685,-0.19058975597129,-0.420929997071845,-0.312358226899814,-0.0814853457446167,-0.265902318563521,0.201581027667984,"R","1",-0.183971828666392,0.0837610526351554,-0.153135984360475,-0.396237870486318,-0.515431055000468,-0.459361364576711,0.444921316165951,0.597883597883598,0.955823293172691,0.771860618014464,0.300175884307211,"reopened","no data","-","all reopen","normal","reopened","reopened","no data","no data",NA,NA,"0","0","0","0","midwest","no data",0.183326325526343,-0.0734073592368721,-0.114221873581292,-0.527975468159663,-0.449849572611015,0.140119540485832,-0.529897408030116,-0.3692656738315,0.57095823821088,0.203144811133042,1.30269575109006,1.6953190674054,0.233021843858119,0.201593403956053,-0.0454037410647418,0.0333564716265586,0.222649111026588,0.441294246336866,0.274349433614402,-0.0438505862943081,-0.431340833379815,-0.234401500204925,1.11023494821933,-0.139085907792103,-0.403391101624541,-0.738517598756093,-0.695449612789135,0.910611523115421,-0.741869358628433,0.806748774555597,0.542235916132786,1.00671871960307,1.59488409023494,0.945888555972194,-1.08724677770027
