"","state","confirmed","deaths","active","people_tested","negative","positive","totaltestresults","mortality_rate","incident_rate","density","pop","landarea","num_hospitals","num_beds","state_population","hospitals_per_100k","beds_per_100k","state_area_sqmiles","hospitals_per_1000sqmile","beds_per_1000sqmile","num_colleges","avg_cost","vote_diff","pct_diff","party","republican","never","rarely","sometimes","frequently","always","population","pct_never","pct_rarely","pct_sometimes","pct_frequently","pct_always","status.of.reopening","stay.at.home.order","mandatory.quarantine.for.travelers","non.essential.business.closures","large.gatherings.ban","restaurant.limits","bar.closures","face.covering.requirement","emergency.declaration","start.of.stay.at.home","end.of.stay.at.home","masks.required.","travel.restrictions","had.stay.at.home","ongoing.stay.at.home","region","duration","log_confirmed","log_deaths","log_active","log_people_tested","log_negative","log_positive","log_totaltestresults","log_density","log_num_hospitals","log_num_beds","log_hospitals_per_100k","log_beds_per_100k","log_state_area_sqmiles","log_hospitals_per_1000sqmile","log_beds_per_1000sqmile","log_num_colleges","log_never","log_rarely","log_sometimes","log_frequently","log_always","log_population","confirmed_per_100k","deaths_per_100k","active_per_100k","people_tested_per_100k","negative_per_100k","positive_per_100k","totaltestresults_per_100k","num_colleges_per_100k","never_per_100k","rarely_per_100k","sometimes_per_100k","frequently_per_100k","always_per_100k"
"41","SD",38141,366,10218,243680,206727,39203,245930,0.0095959728376288,0.156520847012475,11.9116,903027,75811,59,2932,903027,6.53,324.69,75811,0.78,38.68,22,16053.45,-110263,-29.79,"R","1",110651,113497,133824,192080,320564,870482,12.71,13.04,15.37,22.07,36.83,"reopened","no data","-","no data","normal","no data","reopened","no data","no data",NA,NA,"0","0","0","0","midwest","no data",10.5490450980031,5.90263333340137,9.23190614989074,12.403611168129,12.2391543612322,10.5765085534625,12.4128022215761,2.47751271523429,4.07753744390572,7.98344006300654,1.87640694328834,5.78287088097516,11.2359986798353,-0.2484613592985,3.65532267058509,3.09104245335832,11.614136382944,11.6395316838362,11.8042807827883,12.1656672308951,12.6778372233954,13.6768023602052,4381.6,42.05,1173.83,27993.69,23748.57,4503.6,28252.16,2.53,12711.46,13038.41,15373.55,22065.94,36826.03
"42","TN",244087,3100,24243,3505140,3299149,247587,3546736,0.0127003896151782,0.0696368761304827,167.2749,6897580,41235,133,23166,6897580,1.93,335.86,41235,3.23,561.8,134,14841.1,-652230,-26,"R","1",541459,501025,897292,1402368,3488283,6829174,7.93,7.34,13.14,20.53,51.08,"reopened","lifted","-","all reopen","normal","reopened","reopened","none","Yes","31-Mar","30-Apr","0","0","1","0","south","30",12.4052799981009,8.03915739047324,10.0958831949016,15.0697410205918,15.0091751143924,12.4195173143754,15.0815383018908,5.11963856685074,4.89034912822175,10.0504409654923,0.657520002916794,5.81669440646686,10.6270426892675,1.17248213723457,6.33114591467014,4.89783979995091,13.2020226269518,13.1244112790216,13.7071366176106,14.1536727943026,15.0649201960408,15.736714287191,3574.18,45.39,354.99,51325.97,48309.63,3625.43,51935.07,1.96,7928.62,7336.54,13139.1,20534.96,51079.13
"43","TX",888362,17915,116836,7710195,6899867,862375,7762242,0.0201663285912725,0.115219135184,112.8204,29472300,261232,477,68838,29472300,1.62,233.57,261232,1.83,263.51,352,15277.28,-807179,-8.99,"R","1",819371,982066,1916421,4481049,20796026,28995881,2.83,3.39,6.61,15.45,71.72,"restricted","lifted","Lifted","new closures","new limits","restricted","closed","public","Yes","31-Mar","30-Apr","1","0","1","0","south","30",13.6971345965622,9.79339362973905,11.6685265210646,15.8580540370485,15.7470126940194,13.6674454898484,15.8647817679565,4.72579717377621,6.16751649088834,11.1395111970272,0.482426149244293,5.45348181804939,12.4731641803659,0.60431596685333,5.57409131792545,5.8636311755981,13.6162922517185,13.7974137948541,14.4659699419774,15.3153677287676,16.8502724687254,17.1826643433801,3063.75,61.78,402.94,26590.66,23796.02,2974.13,26770.15,1.21,2825.82,3386.92,6609.29,15454.09,71720.62
"44","UT",103117,568,26773,1022809,926629,104882,1031511,0.00550830609889737,0.100817454676289,39.943,3282120,82170,50,5597,3282120,1.52,170.53,82170,0.61,68.11,59,15543.51,-204537,-18.08,"R","1",162868,177303,366704,792308,1706374,3205958,5.08,5.53,11.44,24.71,53.23,"reopened","lifted","Lifted","no data","normal","reopened","reopened","employees","Yes","27-Mar","1-May","0","0","1","0","west","35",11.5436195448703,6.34212141872115,10.1951491959807,13.8380633217347,13.7393085486906,11.5605911876684,13.846535275518,3.68745343783586,3.91202300542815,8.62998601889136,0.418710334858185,5.13891123432482,11.3165455509252,-0.49429632181478,4.22112404525323,4.07753744390572,12.0006953357599,12.0856154123929,12.8123102620992,13.5827054840878,14.3498812092675,14.9805215116291,3216.42,17.72,835.1,31903.38,28903.34,3271.47,32174.81,1.84,5080.17,5530.42,11438.2,24713.61,53225.09
"45","VA",171791,3574,148762,2489017,2348445,173371,2510113,0.0208043494711597,0.0690196169813223,218.4404,8626210,39490,102,19863,8626210,1.18,230.26,39490,2.58,502.99,121,17268.12,212030,5.32,"D","0",284180,298784,649478,1524124,5777857,8535519,3.33,3.5,7.61,17.86,67.69,"reopened","lifted","-","all restricted reopen","normal","reopened","closed","public","Yes","24-Mar","10-Jun","1","0","1","0","south","78",12.0540339006641,8.18144069571937,11.910102992423,14.7273984113786,14.6692639649712,12.0631890859739,14.7358383300149,5.38651320844873,4.62497281328427,9.89661398359295,0.165514438477573,5.43920910524552,10.5838027542807,0.947789398933526,6.22057028918641,4.79579054559674,12.5573631191921,12.6074761832837,13.3839242423097,14.2369303767482,15.5695434106539,15.9597467207978,2012.66,41.87,1742.86,29160.7,27513.79,2031.17,29407.85,1.42,3329.38,3500.48,7609.12,17856.25,67691.92
"46","VT",2043,58,257,184670,183534,2073,185607,0.0283896231032795,0.0110629772025776,68.1416,628061,9217,14,1241,628061,2.23,197.59,9217,1.52,134.64,20,23147.5,83204,25.96,"D","0",26773,52042,41883,84376,418768,623989,4.29,8.34,6.71,13.52,67.11,"reopened","lifted","Rolled Back to Certain States","some restricted reopen","above 25 banned","restricted","reopened","public","Yes","24-Mar","15-May","1","1","1","0","northeast","52",7.62217459481762,4.06044301054642,5.54907608489522,12.1263257274399,12.120155215417,7.63675211243578,12.1313868141403,4.22158789302553,2.63905732961526,7.12367278520461,0.802001585472027,5.28619417674573,9.12880488399366,0.418710334858185,4.90260454988255,2.99573227355399,10.1951491959807,10.8598063638634,10.6426352956568,11.3430382799565,12.9450723462722,13.3438880189911,327.41,9.3,41.19,29595.07,29413.02,332.22,29745.24,3.21,4290.62,8340.21,6712.14,13522.03,67111.44
"47","WA",102264,2296,99968,2318931,2257474,102913,2360387,0.0224516936556364,0.0440996303900375,117.3273,7797100,66456,101,12887,7797100,1.3,165.28,66456,1.52,193.92,94,15083.23,520971,15.71,"D","0",199973,237458,503117,1349717,5325088,7614893,2.63,3.12,6.61,17.72,69.93,"reopened","lifted","-","some reopen","above 10 banned","restricted","closed","public","Yes","25-Mar","31-May","1","0","1","0","west","67",11.5353129838479,7.73892375743946,11.5126054137593,14.6566168615906,14.6297570470419,11.5416392500912,14.6743361466089,4.76496746515337,4.61512051684126,9.46397433028839,0.262364264467491,5.10764100537133,11.1042953535189,0.418710334858185,5.26744570288095,4.54329478227,12.2059376364169,12.3777460447132,13.1285780264074,14.1154054988096,15.4879397952448,15.845616492998,1342.95,30.15,1312.8,30452.57,29645.51,1351.47,30996.98,1.23,2626.08,3118.34,6607.01,17724.7,69929.91
"48","WI",194540,1770,39842,1962769,1768026,208917,1976943,0.00909838593605428,0.0991150767105044,108.0496,5851750,54158,142,17457,5851750,2.43,298.32,54158,2.62,322.33,84,15879.01,-22748,-0.769999999999998,"R","1",420102,565049,802640,1380493,2654046,5822434,7.22,9.7,13.79,23.71,45.58,"restricted","lifted","-","all reopen","new limits","reopened","reopened","public","Yes","25-Mar","13-May","1","0","1","0","midwest","49",12.1783930764234,7.47873482556787,10.5926769112417,14.4898667893092,14.3853742279539,12.2496923228837,14.4970622701741,4.68259038095622,4.95582705760126,9.76749599332478,0.887891257352457,5.69816673587056,10.8996609792825,0.963174317773006,5.77557586547008,4.43081679884331,12.9482528179174,13.2446677320318,13.5956615735995,14.1379512397129,14.7915958260526,15.5772289453393,3341.21,30.4,684.28,33710.46,30365.75,3588.14,33953.89,1.44,7215.23,9704.69,13785.3,23709.9,45583.1
"49","WV",21716,424,4714,715690,701301,21906,723207,0.019524774359919,0.0303427461610474,73.9691,1778070,24038,52,7295,1778070,2.92,410.28,24038,2.16,303.48,67,11118.88,-300577,-42.15,"R","1",157764,127947,243213,367904,895275,1792147,8.8,7.14,13.57,20.53,49.96,"restricted","lifted","Lifted","some restricted reopen","new limits","restricted","reopened","public","Yes","24-Mar","4-May","1","0","1","0","south","41",9.98580459502534,6.04973345523196,8.45829208349608,13.4810023912943,13.4606924604473,9.99451585088369,13.4914507672168,4.30364743843099,3.95124371858143,8.89494446095689,1.07158361628019,6.01683985343921,10.0873911905127,0.770108221696074,5.71531571046987,4.20469261939097,11.9688555244846,11.7593713946542,12.4016928815929,12.8155773135535,13.7048862126313,14.3989249004026,1211.73,23.66,263.04,39934.78,39131.89,1222.33,40354.22,3.74,8803.07,7139.31,13571.04,20528.67,49955.44
"50","WY",10805,68,3266,124491,113686,11041,124727,0.00629338269319759,0.0867934228177137,5.84,567025,97093,29,1520,567025,5.11,268.07,97093,0.3,15.66,10,10766.1,-118446,-45.77,"R","1",81225,86775,71204,135407,204299,578759,14.03,14.99,12.3,23.4,35.3,"reopened","no data","Lifted","no data","normal","reopened","reopened","no data","no data",NA,NA,"0","0","0","0","west","no data",9.28776426894099,4.21950770517611,8.09132127353041,11.7319887031173,11.6411955411108,9.30937089543914,11.7338826278783,1.76473079684014,3.36729582998647,7.32646561384032,1.63119940421561,5.59124814043549,11.4834245610525,-1.20397280432594,2.75110969056266,2.30258509299405,11.3049783605373,11.37107384073,11.1733042755973,11.8160403367946,12.2273398860311,13.2686414350176,1866.93,11.75,564.31,21509.99,19643.06,1907.7,21550.77,1.73,14034.34,14993.29,12302.88,23396.09,35299.49
